id,question,choices,explanation,answer,document,questions_en
1,"Một người bán hàng bỏ ra 80,000 đồng tiền vốn và bị lỗ 6%. Để tính số tiền lỗ ta phải tính","['A. 80,000 : 6', 'B. 80,000 x 6', 'C. 80,000 : (6 x 100)', 'D. (80,000 x 6) : 100']","Theo đề bài, số tiền lỗ bằng 6% của 80 000 đồng . Để tìm số tiền lỗ ta có thể lấy 80 000 chia cho 100 rồi nhân với 6 (tức là 80 000 : 100 × 6) hoặc lấy 80000 nhân với 6 rồi chia cho 100 (tức là 80 000 × 6 : 100).","D. (80,000 x 6) : 100","Câu hỏi: Một người bán hàng bỏ ra 80,000 đồng tiền vốn và bị lỗ 6%. Để tính số tiền lỗ ta phải tính. Các phương án: ['A. 80,000 : 6', 'B. 80,000 x 6', 'C. 80,000 : (6 x 100)', 'D. (80,000 x 6) : 100']. Giải thích: Theo đề bài, số tiền lỗ bằng 6% của 80 000 đồng . Để tìm số tiền lỗ ta có thể lấy 80 000 chia cho 100 rồi nhân với 6 (tức là 80 000 : 100 × 6) hoặc lấy 80000 nhân với 6 rồi chia cho 100 (tức là 80 000 × 6 : 100).. Đáp án: D. (80,000 x 6) : 100","en: A salesman spends 80,000 dollars on his principal and loses 6%."
10,8 dm2 24 cm2 = ……… dm2. Số thích hợp điền vào chỗ chấm là:,"['A. 824', 'B. 82,4', 'C. 8,24', 'D. 0,824']","Ta có 24 cm2 = 0,24 dm2
 Vậy 8 dm2 24 cm2 = 8,24 dm2.","C. 8,24","Câu hỏi: 8 dm2 24 cm2 = ……… dm2. Số thích hợp điền vào chỗ chấm là:. Các phương án: ['A. 824', 'B. 82,4', 'C. 8,24', 'D. 0,824']. Giải thích: Ta có 24 cm2 = 0,24 dm2
 Vậy 8 dm2 24 cm2 = 8,24 dm2.. Đáp án: C. 8,24",en: Appropriate numbers to fill in the stack are:
100,"10% của 11,5m2 là:","['A. 10,15dm2', 'B. 1,5m2', 'C. 15,5m2', 'D. 1,15m2']","10% của 11,5m2 là: 11,5 ${\times}$ 10 : 100 = 1,15 (m2).","D. 1,15m2","Câu hỏi: 10% của 11,5m2 là:. Các phương án: ['A. 10,15dm2', 'B. 1,5m2', 'C. 15,5m2', 'D. 1,15m2']. Giải thích: 10% của 11,5m2 là: 11,5 ${\times}$ 10 : 100 = 1,15 (m2).. Đáp án: D. 1,15m2",en: 10% of 11.5 m2 is:
1004,"Một tam giác có đáy bằng 15 cm và gấp 2,5 lần chiều cao tương ứng. Diện tích tam giác đó là:","['A. 90 cm2', 'B. 37,5 cm2', 'C. 45 cm2', 'D. 18,75 cm2']","Chiều cao của tam giác đó là: 15 : 2,5 = 6 (cm)
 Diện tích tam giác đó là: 15 ${\times}$ 6 : 2 = 45 (cm2) 
 Đáp số: 45 cm2",C. 45 cm2,"Câu hỏi: Một tam giác có đáy bằng 15 cm và gấp 2,5 lần chiều cao tương ứng. Diện tích tam giác đó là:. Các phương án: ['A. 90 cm2', 'B. 37,5 cm2', 'C. 45 cm2', 'D. 18,75 cm2']. Giải thích: Chiều cao của tam giác đó là: 15 : 2,5 = 6 (cm)
 Diện tích tam giác đó là: 15 ${\times}$ 6 : 2 = 45 (cm2) 
 Đáp số: 45 cm2. Đáp án: C. 45 cm2",en: The bottom of the triangle is 15 cm in diameter and is 2.5 times the corresponding height. The area of the triangle is:
1005,"Một tấm thiệp hình chữ nhật có chiều rộng bằng 9 cm, chiều dài gấp 2 lần chiều rộng. Vậy điện tích của tấm thiệp đó là:","['A. 162 cm2', 'B. 81 cm2', 'C. 99 cm2', 'D. 63 cm2']","Chiều dài hình chữ nhật là: 9 ${\times}$ 2 = 18 (cm)
 Diện tích của tấm thiệp đó là:18 ${\times}$ 9 = 162 (cm2)
 Đáp số: 162 cm2",A. 162 cm2,"Câu hỏi: Một tấm thiệp hình chữ nhật có chiều rộng bằng 9 cm, chiều dài gấp 2 lần chiều rộng. Vậy điện tích của tấm thiệp đó là:. Các phương án: ['A. 162 cm2', 'B. 81 cm2', 'C. 99 cm2', 'D. 63 cm2']. Giải thích: Chiều dài hình chữ nhật là: 9 ${\times}$ 2 = 18 (cm)
 Diện tích của tấm thiệp đó là:18 ${\times}$ 9 = 162 (cm2)
 Đáp số: 162 cm2. Đáp án: A. 162 cm2","en: The three figures are: The three figures are in a rectangular shape, with a length of 9 cm and a length twice the length of the figure."
101,10% của 5dm là:,"['A. 0,5 m', 'B. 5 dm', 'C. 5 cm', 'D. 50 cm']",,C. 5 cm,"Câu hỏi: 10% của 5dm là:. Các phương án: ['A. 0,5 m', 'B. 5 dm', 'C. 5 cm', 'D. 50 cm']. Giải thích: nan. Đáp án: C. 5 cm",en: 10% of 5 dm is:
1016,"Một vườn có 500 cây ăn quả, trong đó có 300 cây xoài và 200 cây nhãn. Vậy tỉ số giữa cây xoài và cây nhãn trong vườn là:","['A. $\\frac{3}{2}$', 'B. $\\frac{2}{3}$', 'C. $\\frac{1}{2}$', 'D. $\\frac{1}{4}$']",Tỉ số giữa cây xoài và cây nhãn trong vườn là: $\frac{300}{200}=\frac{3}{2}$,A. $\frac{3}{2}$,"Câu hỏi: Một vườn có 500 cây ăn quả, trong đó có 300 cây xoài và 200 cây nhãn. Vậy tỉ số giữa cây xoài và cây nhãn trong vườn là:. Các phương án: ['A. $\\frac{3}{2}$', 'B. $\\frac{2}{3}$', 'C. $\\frac{1}{2}$', 'D. $\\frac{1}{4}$']. Giải thích: Tỉ số giữa cây xoài và cây nhãn trong vườn là: $\frac{300}{200}=\frac{3}{2}$. Đáp án: A. $\frac{3}{2}$","en: There are 500 fruit trees in the garden, including 300 mangoes and 200 longans. The ratio of mango trees to longans in the garden is:"
102,10% của 8 dm là,"['A. 10 cm', 'B. 70 cm', 'C. 8 cm', 'D. 0,8 cm']",,C. 8 cm,"Câu hỏi: 10% của 8 dm là. Các phương án: ['A. 10 cm', 'B. 70 cm', 'C. 8 cm', 'D. 0,8 cm']. Giải thích: nan. Đáp án: C. 8 cm",en 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm is 10% of 8 dm
1021,Một xe máy đi quãng đường dài 90km mất 2 giờ 15 phút. Vận tốc của xe máy là:,"['A. 40 km/giờ', 'B. 202,5 km/giờ', 'C. 30 km/giờ', 'D. 36 km/giờ']","Đổi 2 giờ 15 phút = 2,25 giờ
 Vận tốc của xe máy là: 90 : 2,25 = 40 (km/giờ)",A. 40 km/giờ,"Câu hỏi: Một xe máy đi quãng đường dài 90km mất 2 giờ 15 phút. Vận tốc của xe máy là:. Các phương án: ['A. 40 km/giờ', 'B. 202,5 km/giờ', 'C. 30 km/giờ', 'D. 36 km/giờ']. Giải thích: Đổi 2 giờ 15 phút = 2,25 giờ
 Vận tốc của xe máy là: 90 : 2,25 = 40 (km/giờ). Đáp án: A. 40 km/giờ",en: Motorcycle journeys of 90 km take 2 hours and 15 minutes. The motorbike drivers are:
1026,"Một xưởng may đã dùng hết 350 m vải để may quần áo, trong đó số vải may quần chiếm 60%. Vậy số vải may áo là:","['A. 210 m', 'B. 140 m', 'C. 150 m', 'D. 180 m']","Số vải may quần là:350 ${\times}$ 60 : 100 = 210 (m vải) 
 Số vải may áo là:350 – 210 = 140 (m vải)",B. 140 m,"Câu hỏi: Một xưởng may đã dùng hết 350 m vải để may quần áo, trong đó số vải may quần chiếm 60%. Vậy số vải may áo là:. Các phương án: ['A. 210 m', 'B. 140 m', 'C. 150 m', 'D. 180 m']. Giải thích: Số vải may quần là:350 ${\times}$ 60 : 100 = 210 (m vải) 
 Số vải may áo là:350 – 210 = 140 (m vải). Đáp án: B. 140 m","en: The garment factory used 350 m of fabric to make clothes, of which 60% was made of fabric. The garment factory used 350 m of fabric to make clothes. The garment factory used 60% of the fabric to make clothes. The garment factory used 350 m of fabric to make clothes."
